País;Reviews;Hotel-reviews;Votes;Score;Tipo-viagem;Piscina;Academia;Tenis;Spa;Casino;Internet;Estrelas;Hotel
USA;11;4;13;5;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;119;21;75;3;Business;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;36;9;25;5;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;14;7;14;4;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;5;5;2;4;Solo;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;31;8;27;3;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;45;12;46;4;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;2;1;4;4;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
India;24;3;8;4;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;12;7;11;3;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;102;24;58;2;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Australia;20;9;24;3;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;7;6;9;2;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;22;5;13;3;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;3;3;0;3;Friends;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
New Zeland;146;17;33;4;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;8;8;9;1;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;9;3;1;4;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Canada;41;9;19;3;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;8;7;26;2;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;10;5;2;4;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
New Zeland;4;3;3;1;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
UK;18;7;19;4;Families;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
USA;4;4;3;2;Couples;NO;YES;NO;NO;YES;YES;3;Circus Circus Hotel & Casino Las Vegas
Ireland;29;11;15;4;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
USA;114;42;52;4;Business;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Canada;30;12;17;5;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
UK;87;18;36;3;Business;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
USA;26;10;28;5;Solo;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Ireland;8;7;9;5;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Canada;11;8;13;5;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Australia;4;3;2;3;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Canada;56;8;7;3;Solo;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Egypt;13;12;8;3;Friends;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Australia;58;9;15;4;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Finland;20;7;4;3;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
USA;70;27;24;4;Friends;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Kenya;6;3;7;4;Friends;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
USA;290;263;299;4;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
USA;24;6;9;2;Families;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Jordan;29;8;21;3;Business;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Canada;20;5;59;3;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Netherlands;3;3;3;3;Families;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Ireland;47;6;27;4;Friends;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
USA;35;8;19;4;Families;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
UK;6;0;4;4;Friends;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
UK;74;47;54;4;Couples;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
Syria;34;8;30;3;Solo;YES;YES;NO;YES;YES;YES;3;Excalibur Hotel & Casino
UK;576;43;340;3;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
USA;20;8;11;4;Solo;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
USA;418;32;132;2;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
USA;73;13;22;4;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Canada;30;10;32;3;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
USA;63;15;17;4;Business;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Scotland;24;10;13;5;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
South Africa;54;18;16;2;Business;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Australia;20;7;11;4;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
UK;41;7;24;4;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Ireland;7;5;7;4;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Canada;13;9;15;4;Friends;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
UK;10;5;4;4;Families;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
New Zeland;9;6;19;3;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Swiss;36;19;36;2;Solo;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
UK;33;12;19;3;Families;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
United Arab Emirates;156;126;142;3;Friends;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Ireland;19;17;16;4;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
USA;23;17;11;3;Families;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
USA;13;3;3;2;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Hungary;8;5;8;4;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
China;1;0;2;1;Business;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Greece;21;18;6;2;Business;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Mexico;56;14;36;5;Couples;YES;YES;NO;YES;YES;NO;4;Monte Carlo Resort&Casino
Croatia;29;11;14;3;Business;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Australia;11;5;8;4;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Canada;19;12;167;4;Friends;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
USA;17;9;16;5;Solo;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
USA;43;8;20;4;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Canada;12;8;3;4;Friends;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
USA;15;14;7;4;Friends;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Australia;16;13;16;3;Families;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
India;12;4;25;3;Families;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Germany;10;0;5;4;Friends;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
USA;27;17;16;3;Families;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Canada;6;5;5;4;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Australia;21;20;14;5;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Malaysia;43;14;27;4;Solo;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Mexico;97;31;37;4;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
UK;7;3;4;4;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
UK;11;9;6;3;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
USA;78;11;30;4;Business;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Australia;12;7;4;5;Families;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
USA;27;11;5;3;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Thailand;4;3;1;5;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Australia;27;9;8;4;Families;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Canada;12;3;7;4;Friends;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
Canada;21;16;48;5;Couples;YES;YES;YES;YES;YES;YES;4;Treasure Island- TI Hotel & Casino
UK;34;17;30;4;Families;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
USA;12;6;1;5;Friends;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Phillippines;79;39;51;3;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Israel;18;10;16;3;Business;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Canada;13;3;8;4;Business;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
UK;14;4;9;4;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Ireland;19;9;28;5;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
India ;88;15;103;4;Business;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
New Zeland;8;4;0;4;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Belgium;39;15;31;3;Friends;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
UK;130;41;61;4;Business;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Australia;79;78;105;4;Friends;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
UK;13;10;16;4;Solo;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
UK;18;6;17;4;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
New Zeland;8;7;3;5;Friends;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Australia;15;4;6;5;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Canada;27;0;9;1;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Australia;5;3;2;5;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
UK;22;6;6;5;Friends;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
USA;5;3;11;2;Friends;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
India;31;8;11;4;Solo;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
Netherlands;33;8;8;5;Friends;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
UK;10;6;11;5;Couples;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
UK;12;3;3;5;Families;YES;YES;YES;YES;YES;YES;4;Tropicana Las Vegas - A Double Tree by Hilton Hotel
USA;50;14;24;5;Friends;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;161;33;85;4;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
Puerto Rico;153;38;81;5;Families;YES;YES;NO;YES;YES;YES;5;Caesars Palace
Canada;14;3;12;5;Families;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;31;12;10;5;Families;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;15;10;29;3;Families;YES;YES;NO;YES;YES;YES;5;Caesars Palace
Canada;5;5;4;5;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;46;4;21;4;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
UK;15;6;39;1;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
UK;63;27;35;4;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;17;15;13;4;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;25;22;36;1;Solo;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;14;8;4;5;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
UK;59;56;37;3;Families;YES;YES;NO;YES;YES;YES;5;Caesars Palace
UK;11;10;17;5;Families;YES;YES;NO;YES;YES;YES;5;Caesars Palace
Canada;54;18;31;4;Friends;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;4;3;4;5;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;10;7;7;5;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;14;6;7;5;Business;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;39;12;16;5;Friends;YES;YES;NO;YES;YES;YES;5;Caesars Palace
Australia;35;24;43;5;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
Australia;6;6;9;3;Families;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;23;7;2;4;Families;YES;YES;NO;YES;YES;YES;5;Caesars Palace
USA;48;21;67;4;Couples;YES;YES;NO;YES;YES;YES;5;Caesars Palace
Australia;16;9;14;4;Friends;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Australia;12;6;3;5;Friends;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Switzerland;36;9;15;4;Friends;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
UK;127;40;80;5;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;12;5;1;5;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;17;17;74;5;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Ireland;23;7;21;4;Friends;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;102;17;45;5;Business;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Germany;113;15;55;5;Families;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;30;8;10;2;Business;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Germany;24;24;24;2;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Ireland;15;5;18;5;Friends;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;6;4;14;1;Business;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Australia;3;3;0;4;Friends;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Canada;41;10;56;5;Families;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;19;8;56;4;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
UK;18;9;10;5;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Norway;6;6;7;5;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;103;5;98;5;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
UK;18;4;16;5;Friends;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Egypt;9;7;7;5;Business;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;50;19;45;5;Business;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Canada;4;3;8;2;Couples;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
USA;7;3;8;5;Families;YES;YES;NO;YES;YES;YES;5;The Cosmopolitan Las Vegas
Mexico;28;23;31;3;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;32;6;11;5;Families;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Canada;4;0;4;5;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;37;8;9;4;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Canada;10;3;7;5;Families;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Canada;36;30;80;5;Families;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;31;10;14;4;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Canada;66;33;60;5;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
France;17;4;8;5;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
UK;57;20;71;5;Business;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;42;8;22;4;Friends;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;28;20;14;3;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Spain;19;8;10;4;Friends;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;20;11;21;5;Families;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
UK;75;19;93;4;Friends;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;91;16;26;4;Business;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
UK;52;48;78;3;Friends;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;93;4;8;5;Families;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Canada;9;3;15;5;Families;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Australia;5;3;9;5;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Singapore;37;7;10;5;Friends;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
Brazil;31;25;35;3;Families;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;6;4;4;5;Couples;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;252;55;113;4;Families;YES;YES;NO;YES;YES;YES;5;The Palazzo Resort Hotel Casino
USA;164;48;82;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;5;3;9;5;Families;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
Canada;7;5;20;4;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;18;11;15;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;20;13;16;5;Friends;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;21;5;12;4;Business;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;125;35;48;5;Business;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;11;7;10;4;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
Singapore;16;10;16;3;Solo;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
UK;19;5;5;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;73;27;365;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;5;4;4;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;30;10;17;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
Canada;7;4;10;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
Canada;67;46;99;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
Finland;18;13;25;5;Solo;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
Canada;12;7;11;2;Business;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
Canada;40;12;26;5;Friends;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;142;17;31;4;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
UK;8;4;16;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
Costa Rica;15;9;3;5;Business;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
UK;2;18;14;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
UK;10;6;10;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
USA;16;13;55;5;Couples;YES;YES;YES;YES;YES;YES;5;Wynn Las Vegas
UK;21;7;13;5;Solo;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
India;69;58;41;5;Business;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;33;13;8;5;Business;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;1;0;2;5;Families;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;49;8;23;5;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;775;52;255;3;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
United Arab Emirates;16;7;6;4;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;1;0;1;5;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Singapore;19;11;17;4;Families;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Brazil;7;4;8;5;Families;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;38;18;16;5;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;48;14;30;5;Business;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Canada;136;20;55;5;Families;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;26;8;1;4;Families;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Iran;3;3;2;4;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;78;17;24;5;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
UK;24;18;12;5;Families;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Egypt;2;0;15;1;Families;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Ireland;4;3;3;5;Friends;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Australia;11;7;17;5;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Germany;1;0;1;2;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Australia;35;16;17;4;Families;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;110;19;76;4;Business;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
USA;53;25;24;5;Couples;YES;YES;NO;YES;YES;YES;5;Trump International Hotel Las Vegas
Saudi Arabia;320;45;102;3;Business;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;2;0;2;4;Business;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;26;6;12;5;Families;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;4;4;0;5;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;9;9;6;2;Solo;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;17;14;70;5;Friends;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
Canada;3;0;1;5;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
Canada;14;0;4;2;Families;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
