País;Reviews;Hotel-reviews;Votes;Score;Tipo-viagem;Piscina;Academia;Tenis;Spa;Casino;Internet;Estrelas;Hotel
USA;235;111;267;5;Friends;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;59;9;21;5;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;2;0;2;5;Friends;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;2;0;1;5;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;21;18;53;5;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;4;0;16;1;Friends;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
Netherlands;184;52;70;5;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
UK;262;75;150;4;Families;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;69;11;17;5;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
Australia;92;12;27;4;Business;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;131;61;116;3;Families;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
Norway;25;10;16;5;Friends;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
Canada;49;22;53;3;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;148;33;55;4;Business;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
Canada;26;7;22;4;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
USA;13;4;1;4;Couples;YES;NO;NO;NO;YES;YES;4.5;The Cromwell
Thailand;3;3;20;1;Business;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;46;12;87;5;Couples;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
UK;127;40;81;4;Couples;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;15;5;12;5;Business;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;16;14;23;5;Couples;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;113;38;27;4;Friends;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
UK;7;5;5;3;Families;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
Honduras;73;32;99;4;Friends;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;35;12;3;5;Business;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
UK;139;20;86;5;Friends;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
UK;28;12;30;5;Couples;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;34;8;26;4;Business;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;4;3;5;5;Friends;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;32;11;14;5;Families;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
UK;9;3;4;5;Families;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;333;58;200;5;Families;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;29;11;15;5;Couples;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
UK;85;43;68;5;Friends;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;12;5;1;5;Couples;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
UK;34;10;7;4;Business;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
India;13;7;8;5;Couples;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;5;5;14;5;Couples;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;169;25;41;5;Friends;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;11;10;6;5;Business;YES;YES;NO;YES;YES;YES;5;Encore at wynn Las Vegas
USA;4;3;2;5;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;50;39;48;2;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Mexico;10;3;1;5;Business;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Canada;7;4;4;5;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
UK;60;7;42;5;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Netherlands;92;49;18;4;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Australia;106;37;58;4;Business;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Canada;7;5;45;4;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Brazil;37;31;38;5;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;70;25;19;1;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;9;3;4;5;Friends;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;11;6;7;5;Solo;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Finland;39;18;9;4;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
UK;10;0;9;5;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;78;17;24;4;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
UK;48;21;19;5;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Canada;112;34;41;5;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;28;17;14;5;Solo;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
UK;11;3;16;2;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;9;5;11;4;Business;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;4;4;1;3;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Mexico;22;15;25;4;Families;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
USA;42;11;36;5;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Australia;20;16;9;4;Couples;YES;YES;NO;YES;YES;YES;3.5;Hilton Grand Vacations on the Boulevard
Canada;160;34;88;4;Business;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;372;78;169;4;Business;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;84;18;36;5;Families;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;21;13;20;5;Business;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
UK;95;37;55;4;Friends;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Germany;118;107;131;5;Business;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Canada;6;0;8;5;Couples;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;60;4;31;4;Couples;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Australia;275;79;339;4;Couples;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Canada;46;39;42;4;Business;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;6;5;6;5;Families;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Australia;11;0;5;5;Families;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;75;37;48;5;Couples;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Denmark;240;76;115;5;Couples;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Taiwan;20;12;7;5;Families;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Israel;62;40;25;5;Families;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Hawaii;88;19;58;5;Friends;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;6;3;5;5;Friends;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Thailand;18;9;8;3;Business;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Mexico;159;43;78;5;Families;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Kuwait;47;23;20;4;Couples;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Norway;86;12;46;4;Couples;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;42;9;13;5;Couples;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
Germany;64;33;23;4;Families;YES;YES;NO;NO;YES;YES;3.5;Marriott's Grand Chateau
USA;167;71;119;5;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;25;5;12;5;Friends;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
UK;12;12;6;3;Business;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;608;117;319;5;Business;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;5;4;3;5;Friends;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;26;17;34;5;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
Brazil;11;5;9;5;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;39;10;13;4;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
India;1;0;3;2;Families;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;108;20;22;3;Business;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
Malaysia;119;20;46;5;Friends;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;27;15;17;3;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
Germany;55;55;134;5;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
Canada;7;3;7;4;Business;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
Canada;3;3;2;3;Business;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;11;3;19;4;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
Australia;27;15;16;5;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;13;4;6;5;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
UK;19;11;14;3;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
Canada;38;12;17;5;Business;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;167;71;119;4;Couples;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;28;6;9;3;Business;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
Canada;9;8;5;5;Families;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;13;4;4;5;Friends;YES;YES;YES;YES;YES;YES;3;Tuscany Las Vegas Suites & Casino
USA;65;24;72;3;Business;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;8;3;3;5;Couples;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
UK;61;13;26;2;Couples;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;3;3;8;2;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;66;13;21;5;Friends;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Hawaii;9;7;4;5;Couples;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Hawaii;82;14;61;3;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Canada;113;48;33;3;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;11;8;12;3;Friends;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Canada;2;1;1;3;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;31;11;24;5;Couples;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Australia;32;12;22;4;Couples;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;56;7;25;3;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Canada;45;6;22;5;Couples;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;17;4;4;4;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;23;23;11;5;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Canada;56;18;24;5;Friends;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;290;263;300;4;Business;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Australia;26;7;9;4;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
India;116;44;53;4;Couples;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Czech Republic;14;5;15;4;Business;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;13;7;1;5;Business;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;20;9;25;4;Couples;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
Mexico;3;3;3;5;Families;YES;YES;NO;NO;NO;YES;3;Hilton Grand Vacations at the Flamingo
USA;17;3;12;4;Friends;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Australia;21;11;13;5;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;60;11;33;5;Couples;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Canada;12;4;15;5;Couples;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;27;12;51;5;Friends;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;34;12;35;4;Couples;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Canada;69;22;38;5;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;16;4;7;5;Couples;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Australia;26;5;5;4;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;54;10;15;4;Business;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
UK;35;17;27;5;Couples;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
India;23;12;7;5;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
UK;6;3;14;5;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;27;8;16;4;Friends;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;41;8;14;3;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Canada;12;4;6;5;Couples;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;14;3;14;5;Friends;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;415;162;265;4;Business;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Ireland;76;27;32;3;Couples;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
UK;24;12;30;4;Couples;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Japan;23;9;23;3;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;182;24;47;4;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
USA;289;28;133;4;Families;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Canada;101;35;46;5;Friends;YES;YES;YES;NO;NO;YES;3.5;Wyndham Grand Desert
Ireland;31;11;20;4;Business;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
USA;20;6;9;5;Solo;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
USA;60;16;15;4;Families;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Mexico;1;0;2;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
USA;9;3;13;3;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
USA;19;7;5;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Israel;116;78;206;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Australia;22;13;26;4;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Australia;83;10;26;4;Families;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
UK;20;3;9;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
USA;7;5;6;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
USA;95;34;46;5;Business;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Australia;15;6;19;4;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
UK;13;7;12;4;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Canada;19;8;24;5;Families;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
UK;21;6;15;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
UK;56;11;14;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
UK;29;7;15;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Brazil;20;0;8;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
UK;39;20;31;4;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Switzerland;9;6;3;5;Friends;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Australia;43;38;29;5;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Singapore;16;10;11;5;Families;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
USA;6;6;12;4;Couples;YES;YES;NO;YES;YES;YES;5;The Venetian Las Vegas Hotel
Australia;16;6;3;4;Solo;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;15;3;13;5;Families;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;30;6;26;4;Couples;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;41;9;111;5;Business;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
India;44;35;53;5;Couples;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;30;9;17;2;Business;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
Ireland;23;10;18;5;Business;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
Spain;3;0;8;2;Families;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
UK;12;6;16;3;Friends;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
UK;15;6;17;5;Couples;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
UK;5;0;5;5;Families;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;32;5;11;4;Business;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;28;5;23;5;Couples;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
Korea;77;18;48;4;Families;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;11;8;2;4;Solo;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
Scotland;102;25;37;5;Families;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
Ireland;13;3;2;5;Couples;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;62;13;31;4;Business;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
UK;26;22;42;5;Couples;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
UK;13;6;12;4;Couples;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
UK;26;18;43;5;Friends;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
Canada;17;10;39;5;Friends;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
India;4;4;1;4;Business;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
Malaysia;20;18;19;2;Families;YES;YES;NO;YES;YES;YES;5;Bellagio Las Vegas
USA;14;3;7;4;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Canada;19;3;12;5;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;4;4;2;2;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;116;12;43;4;Friends;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;121;13;59;2;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;14;7;6;5;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;56;16;54;4;Business;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Canada;73;4;39;3;Friends;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;9;5;4;5;Friends;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;137;42;51;3;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Australia;30;12;38;5;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Costa Rica;130;19;49;3;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;50;15;23;4;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
UK;22;9;11;4;Families;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Egypt;85;37;65;5;Families;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;73;7;26;5;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;20;10;27;4;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Canada;13;6;13;5;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Canada;18;3;10;2;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;6;4;6;5;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;48;8;25;4;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;24;3;5;5;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Canada;123;26;63;5;Couples;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
USA;24;7;6;4;Friends;YES;YES;NO;YES;YES;YES;4;Paris Las Vegas
Canada;20;13;17;4;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;15;3;4;3;Families;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
Italy;189;72;129;4;Solo;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;25;19;27;3;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;33;11;12;5;Business;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;14;7;13;5;Friends;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;38;22;47;4;Business;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
Egypt;169;43;85;4;Solo;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;20;17;21;3;Friends;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;17;10;18;4;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;96;47;161;4;Solo;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;38;13;11;3;Business;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
India;12;11;9;4;Families;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;9;8;1;5;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;23;21;22;3;Families;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;21;6;3;4;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;30;27;19;5;Solo;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;63;16;59;3;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
UK;35;3;25;5;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
UK;15;4;8;5;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
Canada;50;13;29;4;Couples;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;154;23;31;4;Friends;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;9;6;5;2;Families;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
USA;20;19;112;4;Families;YES;YES;NO;YES;YES;YES;4;The Westin las Vegas Hotel Casino & Spa
